City,City_Tier,Property_Type,BHK,Builtup_Area_sqft,Property_Age_years,Floor,Total_Floors,Furnishing,Parking,Distance_to_Metro_km,Distance_to_School_km,Distance_to_Hospital_km,Average_Area_Price_sqft,Rental_Yield_percent,Annual_Rent,Property_Price,Investment_Category
Kurnool,Tier_3,Apartment,3,1299,10,1,4,Unfurnished,None,3.59,2.96,5.73,1710,3.29,75894,2306824,Medium ROI
Dehradun,Tier_3,Apartment,2,894,1,0,6,Unfurnished,Open,1.28,0.42,6.86,2423,3.57,71473,2002066,High ROI
Rajkot,Tier_3,Villa,3,2777,7,0,2,Unfurnished,Open,0.27,2.64,1.91,2842,3.27,273325,8358570,Medium ROI
Ludhiana,Tier_3,Villa,2,2878,0,0,1,Unfurnished,Covered,2.19,6.1,3.17,3336,2.9,260286,8975399,Medium ROI
Nagpur,Tier_2,Apartment,2,1164,2,4,10,Unfurnished,Covered,2.84,1.88,1.24,4187,2.93,153608,5242597,Medium ROI
Hubli-Dharwad,Tier_3,Apartment,2,892,3,4,5,Semi-Furnished,Open,5.75,4.18,5.44,2872,4.35,103341,2375661,High ROI
Srinagar,Tier_3,Independent House,5,1558,0,0,1,Unfurnished,Open,2.13,3.06,5.64,2745,3.37,151829,4505332,Medium ROI
Ludhiana,Tier_3,Apartment,2,962,2,4,9,Fully-Furnished,Covered,3.89,5.53,3.35,3425,4.41,147840,3352381,High ROI
Agra,Tier_3,Apartment,2,1017,3,3,7,Semi-Furnished,Open,3.1,0.78,1.95,3147,4.48,147698,3296852,High ROI
Varanasi,Tier_3,Villa,3,2881,13,0,1,Unfurnished,Covered,8.12,2.75,2.43,3606,4.29,438635,10224599,High ROI
Pune,Tier_1,Apartment,4,1348,4,2,5,Unfurnished,Open,7.9,4.61,6.48,5012,2.03,146247,7204297,Low ROI
Tiruppur,Tier_3,Apartment,1,766,3,8,9,Fully-Furnished,Open,4.31,1.53,1.55,3111,3.75,95051,2534709,High ROI
Moradabad,Tier_3,Apartment,5,1695,2,1,7,Fully-Furnished,Open,3.22,0.8,6.66,3389,4.87,295913,6076243,High ROI
Ghaziabad,Tier_2,Apartment,3,1478,6,3,5,Fully-Furnished,None,11.62,5.65,5.22,4271,2.02,137635,6813623,Low ROI
Jamshedpur,Tier_3,Apartment,2,1129,1,0,6,Fully-Furnished,Covered,0.33,4.03,0.12,3512,3.93,156748,3988502,High ROI
Allahabad,Tier_3,Independent House,2,1261,6,0,2,Semi-Furnished,None,3.03,1.99,0.4,2139,4.7,131276,2793126,High ROI
Navi Mumbai,Tier_2,Plot,3,1989,18,0,3,Unfurnished,Covered,3.9,4.4,6.07,2802,1.76,100268,5697080,Low ROI
Rourkela,Tier_3,Apartment,2,1046,1,1,4,Fully-Furnished,Covered,4.52,0.03,5.82,3882,4.81,208391,4332463,High ROI
Bokaro,Tier_3,Apartment,1,946,2,5,8,Semi-Furnished,Open,1.14,0.62,1.16,2318,3.69,81787,2216460,High ROI
Lucknow,Tier_2,Apartment,2,1068,17,1,9,Fully-Furnished,Covered,3.29,4.86,4.64,3625,2.88,111058,3856188,Medium ROI
Chandrapur,Tier_3,Apartment,2,1094,26,4,7,Semi-Furnished,Covered,3.78,2.75,4.16,2546,3.04,88132,2899083,Medium ROI
Ongole,Tier_3,Apartment,2,1030,7,5,9,Semi-Furnished,Covered,5.55,3.43,4.49,2595,5.5,141077,2565040,High ROI
Pune,Tier_1,Apartment,2,1114,9,1,7,Fully-Furnished,Open,12.41,10.03,2.53,5024,2.22,126853,5714135,Low ROI
Srinagar,Tier_3,Apartment,1,477,0,2,4,Unfurnished,Open,8.68,2.66,4.57,2184,2.73,28373,1039336,Medium ROI
Dehradun,Tier_3,Apartment,4,1877,8,7,8,Unfurnished,Covered,9.53,3.41,5.36,2726,2.79,135684,4863249,Medium ROI
Nagpur,Tier_2,Villa,2,2366,1,0,2,Semi-Furnished,Covered,7.45,0.68,7.56,5068,3.32,407871,12285298,Medium ROI
Erode,Tier_3,Apartment,2,1075,7,2,5,Unfurnished,Open,8.95,1.93,7.88,1935,3.73,76950,2063022,High ROI
Thiruvananthapuram,Tier_3,Apartment,2,813,5,0,6,Semi-Furnished,Covered,8.32,0.47,6.11,3174,3.76,90783,2414449,High ROI
Karnal,Tier_3,Plot,3,1305,0,0,1,Unfurnished,None,5.39,2.0,3.35,2096,4.27,111447,2610002,High ROI
Moradabad,Tier_3,Plot,2,1437,6,0,1,Semi-Furnished,Open,8.76,0.08,8.53,2591,2.19,80952,3696464,Low ROI
Thiruvananthapuram,Tier_3,Villa,3,2689,25,0,3,Fully-Furnished,Covered,5.76,1.43,3.72,2864,4.46,332305,7450797,High ROI
Surat,Tier_2,Apartment,2,907,0,5,9,Unfurnished,None,8.16,2.48,0.73,3769,1.5,54718,3647869,Low ROI
Jamshedpur,Tier_3,Apartment,4,1266,21,1,10,Unfurnished,None,7.49,3.05,2.87,1471,3.83,75454,1970095,High ROI
Moradabad,Tier_3,Apartment,3,1319,7,3,8,Fully-Furnished,Open,1.9,2.38,2.03,3031,5.17,204019,3946220,High ROI
Tirunelveli,Tier_3,Apartment,2,938,0,2,5,Unfurnished,Open,6.41,1.53,3.71,2225,4.2,84368,2008782,High ROI
Visakhapatnam,Tier_3,Villa,2,2849,0,0,2,Unfurnished,None,0.34,0.41,1.4,3473,3.58,357796,9994304,High ROI
Nagpur,Tier_2,Apartment,2,1062,4,2,4,Unfurnished,Covered,10.93,2.54,5.08,4764,3.32,178164,5366386,Medium ROI
Solapur,Tier_3,Apartment,2,1154,7,4,7,Fully-Furnished,Open,4.21,4.37,4.38,3528,3.79,161884,4271359,High ROI
Jamshedpur,Tier_3,Apartment,3,1655,9,2,6,Fully-Furnished,None,5.22,6.78,1.18,3181,3.08,156037,5066157,Medium ROI
Indore,Tier_2,Villa,2,2260,4,0,2,Fully-Furnished,Open,9.6,0.28,0.42,6231,2.6,377117,14504515,Medium ROI
Navi Mumbai,Tier_2,Apartment,2,1114,1,0,10,Unfurnished,Open,9.41,6.26,4.03,4544,1.5,70391,4692761,Low ROI
Madurai,Tier_3,Independent House,3,1470,28,0,2,Unfurnished,Covered,4.83,2.96,2.93,2193,3.03,96548,3186411,Medium ROI
Delhi,Tier_1,Apartment,4,1378,16,11,12,Unfurnished,Open,8.83,6.82,4.39,5350,1.5,112044,7469625,Low ROI
Vadodara,Tier_2,Apartment,1,1055,0,5,10,Unfurnished,Covered,10.97,5.66,4.12,3620,2.03,74420,3666048,Low ROI
Indore,Tier_2,Apartment,2,653,4,6,11,Fully-Furnished,Covered,10.83,3.34,1.04,6127,2.3,88145,3832403,Low ROI
Ludhiana,Tier_3,Plot,3,1720,3,0,2,Unfurnished,None,0.09,3.74,4.12,2461,3.0,132725,4424171,Medium ROI
Kolhapur,Tier_3,Independent House,3,1097,18,0,1,Semi-Furnished,None,0.82,6.51,2.4,2679,3.39,97755,2883631,Medium ROI
Ahmedabad,Tier_1,Independent House,2,904,0,0,2,Semi-Furnished,Open,7.41,3.81,6.93,7965,1.5,103298,6886534,Low ROI
Hyderabad,Tier_1,Villa,2,2278,5,0,2,Unfurnished,Covered,5.41,5.2,7.31,6922,2.08,335405,16125264,Low ROI
Moradabad,Tier_3,Villa,3,3231,0,0,2,Unfurnished,None,3.66,1.96,4.74,4019,4.36,537045,12317561,High ROI
Navi Mumbai,Tier_2,Apartment,2,893,3,2,6,Fully-Furnished,Covered,4.77,5.6,2.73,4990,2.33,111870,4801316,Low ROI
Thane,Tier_2,Apartment,2,1193,6,2,5,Unfurnished,Covered,5.94,3.8,2.55,3011,1.78,68293,3836717,Low ROI
Nanded,Tier_3,Villa,4,2690,17,0,1,Semi-Furnished,Open,2.95,5.77,5.4,3805,3.74,408577,10924534,High ROI
Cuttack,Tier_3,Apartment,3,1495,0,5,7,Semi-Furnished,Open,6.78,6.22,0.3,2913,4.2,177820,4233821,High ROI
Puducherry,Tier_3,Apartment,1,669,1,3,5,Fully-Furnished,Covered,2.54,2.94,3.07,3505,3.56,88856,2495967,High ROI
Nizamabad,Tier_3,Apartment,2,818,27,0,9,Semi-Furnished,Open,2.01,3.54,1.29,1903,2.31,36418,1576575,Low ROI
